,Date_time,date_documented,Year,Month,Hour,Season,Country_Code,Country,Region,Locale,latitude,longitude,UFO_shape,length_of_encounter_seconds,Encounter_Duration,Description
120,2003-10-10 19:15:00,10/15/2003,2003,10,19,Autumn,USA,United States,Virginia,Centreville Farms,38.8402778,-77.4291667,Other,600.0,10 minutes,Aliens check out local high school football game.
258,2012-10-10 20:30:00,10/30/2012,2012,10,20,Autumn,USA,United States,California,San Jose,37.3394444,-121.8938889,Other,6.0,5-6 seconds,POSSIBLE ALIEN/HUMANOID SEEN RUNNING INTO HILLS
869,2008-10-01 00:24:00,10/31/2008,2008,10,0,Autumn,MYS,Malaysia,,Kuala Lumpur,3.139003,101.686855,Disk,300.0,5mins,A huge &quot;creature&quot; built up with a line of bright line with a red light at the middle top of it&#44 appears in the dark clear Malaysia sky&#33
1236,1996-10-13 06:00:00,1/28/1999,1996,10,6,Autumn,USA,United States,Florida,Gainesville,29.6513889,-82.325,Circle,2400.0,hour,ALIEN CONTACT THROUGH DREAMS
1483,1990-10-14 21:00:00,2/14/2008,1990,10,21,Autumn,USA,United States,Georgia,Reidsville,32.0866667,-82.1180556,Oval,240.0,4 minutes,The craft was oval shaped&#44 with lights rotating in the middle of it and a green alien with bulging black eyes.
1587,2006-10-14 02:00:00,4/27/2007,2006,10,2,Autumn,USA,United States,Virginia,Yuma,36.615,-82.6125,Formation,300.0,5 minutes,((HOAX??))  two aliens appeared from a bright light to peacefully investigate the surroundings in the woods
2968,2007-10-19 21:14:00,11/28/2007,2007,10,21,Autumn,USA,United States,Michigan,Clinton Township,42.586888,-82.919551,Disk,300.0,5 minutes,Silver Saucer Seen&#44 Also Heard &quot;Alien&quot; Type Noises
3051,2013-10-19 07:30:00,10/23/2013,2013,10,7,Autumn,USA,United States,Arizona,Prescott,34.54,-112.4677778,Oval,300.0,5 minutes,Portal to alien planet or Alien base uncovered.
3125,1992-10-20 02:00:00,3/17/2004,1992,10,2,Autumn,LTU,Lithuania,Kaunas County,Kaunas,54.898521,23.903597,Unknown,3600.0,1 hour,alien encounter [?] .. frog with antenna
3299,2009-10-20 12:59:00,12/12/2009,2009,10,12,Autumn,USA,United States,Connecticut,Falls Village,41.9558333,-73.3636111,Cigar,60.0,1 minute,ALIENS AT MY HIGH SCHOOL
3542,2011-10-21 23:45:00,10/25/2011,2011,10,23,Autumn,USA,United States,Kentucky,Florence,38.9988889,-84.6266667,Teardrop,300.0,5 minutes,I came into contact with these aliens&#44 and they took off as soon as they noticed me.
4891,2007-10-27 01:00:00,11/28/2007,2007,10,1,Autumn,USA,United States,Texas,League City,29.5072222,-95.0947222,Oval,420.0,around 7 miniutes,((HOAX??))  Riding down the road and weird object flying around road and then creature jumps out on  road.
5138,2009-10-28 19:30:00,6/3/2010,2009,10,19,Autumn,USA,United States,California,Santa Clarita,34.3916667,-118.5416667,Unknown,1200.0,20 minutes,I witness the teleportation of an alien spacecraft&#44 as well as the soarce of this technology in action.
5392,2012-10-29 10:30:00,12/20/2012,2012,10,10,Autumn,USA,United States,Rhode Island,Woonsocket,42.0027778,-71.5152778,,2.0,seconds,Unusual alien in the window - non grey.
